design,variant,method,metric,value,questions,span_questions,ms_per_query
per-variant,tok256,nemotron_hybrid,category_hit/vague_long,0.627109,7801,0,2.916
per-variant,tok256,nemotron_hybrid,category_hit/vague_short,0.578493,7801,0,2.916
per-variant,tok256,nemotron_hybrid_rerank,hit@1,0.720036,7801,0,307.051
per-variant,tok256,nemotron_hybrid_rerank,hit@5,0.848481,7801,0,307.051
per-variant,tok256,nemotron_hybrid_rerank,hit@10,0.868094,7801,0,307.051
per-variant,tok256,nemotron_hybrid_rerank,recall@10,0.868094,7801,0,307.051
per-variant,tok256,nemotron_hybrid_rerank,mrr@10,0.775874,7801,0,307.051
per-variant,tok256,nemotron_hybrid_rerank,category_hit/crosslingual,0.760234,7801,0,307.051
per-variant,tok256,nemotron_hybrid_rerank,category_hit/direct_long,0.951835,7801,0,307.051
per-variant,tok256,nemotron_hybrid_rerank,category_hit/direct_short,0.924312,7801,0,307.051
per-variant,tok256,nemotron_hybrid_rerank,category_hit/vague_long,0.789412,7801,0,307.051
per-variant,tok256,nemotron_hybrid_rerank,category_hit/vague_short,0.770558,7801,0,307.051
per-variant,tok512,nemotron_hybrid,hit@1,0.572538,3605,0,1.947
per-variant,tok512,nemotron_hybrid,hit@5,0.786963,3605,0,1.947
per-variant,tok512,nemotron_hybrid,hit@10,0.865465,3605,0,1.947
per-variant,tok512,nemotron_hybrid,recall@10,0.865465,3605,0,1.947
per-variant,tok512,nemotron_hybrid,mrr@10,0.667554,3605,0,1.947
per-variant,tok512,nemotron_hybrid,category_hit/crosslingual,0.734266,3605,0,1.947
per-variant,tok512,nemotron_hybrid,category_hit/direct_long,0.906716,3605,0,1.947
per-variant,tok512,nemotron_hybrid,category_hit/direct_short,0.890683,3605,0,1.947
per-variant,tok512,nemotron_hybrid,category_hit/vague_long,0.710938,3605,0,1.947
per-variant,tok512,nemotron_hybrid,category_hit/vague_short,0.663329,3605,0,1.947
per-variant,tok512,nemotron_hybrid_rerank,hit@1,0.765049,3605,0,549.556
per-variant,tok512,nemotron_hybrid_rerank,hit@5,0.901526,3605,0,549.556
per-variant,tok512,nemotron_hybrid_rerank,hit@10,0.919556,3605,0,549.556
per-variant,tok512,nemotron_hybrid_rerank,recall@10,0.919556,3605,0,549.556
per-variant,tok512,nemotron_hybrid_rerank,mrr@10,0.825150,3605,0,549.556
per-variant,tok512,nemotron_hybrid_rerank,category_hit/crosslingual,0.815851,3605,0,549.556
per-variant,tok512,nemotron_hybrid_rerank,category_hit/direct_long,0.973881,3605,0,549.556
per-variant,tok512,nemotron_hybrid_rerank,category_hit/direct_short,0.963975,3605,0,549.556
per-variant,tok512,nemotron_hybrid_rerank,category_hit/vague_long,0.875000,3605,0,549.556
per-variant,tok512,nemotron_hybrid_rerank,category_hit/vague_short,0.837297,3605,0,549.556
per-variant,tok512ov,nemotron_hybrid,hit@1,0.537904,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid,hit@5,0.774127,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid,hit@10,0.853040,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid,recall@10,0.853040,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid,mrr@10,0.642431,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid,category_hit/crosslingual,0.748918,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid,category_hit/direct_long,0.914918,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid,category_hit/direct_short,0.849013,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid,category_hit/vague_long,0.692400,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid,category_hit/vague_short,0.650292,3865,0,2.298
per-variant,tok512ov,nemotron_hybrid_rerank,hit@1,0.743079,3865,0,545.871
per-variant,tok512ov,nemotron_hybrid_rerank,hit@5,0.898060,3865,0,545.871
per-variant,tok512ov,nemotron_hybrid_rerank,hit@10,0.916429,3865,0,545.871
per-variant,tok512ov,nemotron_hybrid_rerank,recall@10,0.916429,3865,0,545.871
per-variant,tok512ov,nemotron_hybrid_rerank,mrr@10,0.812667,3865,0,545.871
per-variant,tok512ov,nemotron_hybrid_rerank,category_hit/crosslingual,0.805195,3865,0,545.871
per-variant,tok512ov,nemotron_hybrid_rerank,category_hit/direct_long,0.977855,3865,0,545.871
per-variant,tok512ov,nemotron_hybrid_rerank,category_hit/direct_short,0.962834,3865,0,545.871
per-variant,tok512ov,nemotron_hybrid_rerank,category_hit/vague_long,0.861279,3865,0,545.871
per-variant,tok512ov,nemotron_hybrid_rerank,category_hit/vague_short,0.838596,3865,0,545.871
per-variant,tok1024,nemotron_hybrid,hit@1,0.604411,1451,0,1.475
per-variant,tok1024,nemotron_hybrid,hit@5,0.824259,1451,0,1.475
per-variant,tok1024,nemotron_hybrid,hit@10,0.888353,1451,0,1.475
per-variant,tok1024,nemotron_hybrid,recall@10,0.888353,1451,0,1.475
per-variant,tok1024,nemotron_hybrid,mrr@10,0.698270,1451,0,1.475
per-variant,tok1024,nemotron_hybrid,category_hit/crosslingual,0.823045,1451,0,1.475
per-variant,tok1024,nemotron_hybrid,category_hit/direct_long,0.924092,1451,0,1.475
per-variant,tok1024,nemotron_hybrid,category_hit/direct_short,0.894040,1451,0,1.475
per-variant,tok1024,nemotron_hybrid,category_hit/vague_long,0.749164,1451,0,1.475
per-variant,tok1024,nemotron_hybrid,category_hit/vague_short,0.730263,1451,0,1.475
per-variant,tok1024,nemotron_hybrid_rerank,hit@1,0.811165,1451,0,1006.163
per-variant,tok1024,nemotron_hybrid_rerank,hit@5,0.924879,1451,0,1006.163
per-variant,tok1024,nemotron_hybrid_rerank,hit@10,0.940041,1451,0,1006.163
per-variant,tok1024,nemotron_hybrid_rerank,recall@10,0.940041,1451,0,1006.163
per-variant,tok1024,nemotron_hybrid_rerank,mrr@10,0.859770,1451,0,1006.163
per-variant,tok1024,nemotron_hybrid_rerank,category_hit/crosslingual,0.884774,1451,0,1006.163
per-variant,tok1024,nemotron_hybrid_rerank,category_hit/direct_long,0.970297,1451,0,1006.163
per-variant,tok1024,nemotron_hybrid_rerank,category_hit/direct_short,0.986755,1451,0,1006.163
per-variant,tok1024,nemotron_hybrid_rerank,category_hit/vague_long,0.906355,1451,0,1006.163
per-variant,tok1024,nemotron_hybrid_rerank,category_hit/vague_short,0.868421,1451,0,1006.163
