design,variant,method,metric,value,questions,span_questions,ms_per_query
per-variant,tok256,nemotron8b,category_hit/vague_long,0.937173,7801,0,8.376
per-variant,tok256,nemotron8b,category_hit/vague_short,0.898792,7801,0,8.376
per-variant,tok256,nemotron8b_hybrid_rerank,hit@1,0.754134,7801,0,290.189
per-variant,tok256,nemotron8b_hybrid_rerank,hit@5,0.909242,7801,0,290.189
per-variant,tok256,nemotron8b_hybrid_rerank,hit@10,0.942443,7801,0,290.189
per-variant,tok256,nemotron8b_hybrid_rerank,recall@10,0.942443,7801,0,290.189
per-variant,tok256,nemotron8b_hybrid_rerank,mrr@10,0.821508,7801,0,290.189
per-variant,tok256,nemotron8b_hybrid_rerank,category_hit/crosslingual,0.824561,7801,0,290.189
per-variant,tok256,nemotron8b_hybrid_rerank,category_hit/direct_long,0.974197,7801,0,290.189
per-variant,tok256,nemotron8b_hybrid_rerank,category_hit/direct_short,0.938647,7801,0,290.189
per-variant,tok256,nemotron8b_hybrid_rerank,category_hit/vague_long,0.894706,7801,0,290.189
per-variant,tok256,nemotron8b_hybrid_rerank,category_hit/vague_short,0.870615,7801,0,290.189
per-variant,tok512,nemotron8b,hit@1,0.840222,3605,0,7.702
per-variant,tok512,nemotron8b,hit@5,0.968932,3605,0,7.702
per-variant,tok512,nemotron8b,hit@10,0.982802,3605,0,7.702
per-variant,tok512,nemotron8b,recall@10,0.982802,3605,0,7.702
per-variant,tok512,nemotron8b,mrr@10,0.897233,3605,0,7.702
per-variant,tok512,nemotron8b,category_hit/crosslingual,0.958042,3605,0,7.702
per-variant,tok512,nemotron8b,category_hit/direct_long,0.993781,3605,0,7.702
per-variant,tok512,nemotron8b,category_hit/direct_short,0.978882,3605,0,7.702
per-variant,tok512,nemotron8b,category_hit/vague_long,0.966146,3605,0,7.702
per-variant,tok512,nemotron8b,category_hit/vague_short,0.942428,3605,0,7.702
per-variant,tok512,nemotron8b_hybrid_rerank,hit@1,0.792788,3605,0,500.983
per-variant,tok512,nemotron8b_hybrid_rerank,hit@5,0.950069,3605,0,500.983
per-variant,tok512,nemotron8b_hybrid_rerank,hit@10,0.978641,3605,0,500.983
per-variant,tok512,nemotron8b_hybrid_rerank,recall@10,0.978641,3605,0,500.983
per-variant,tok512,nemotron8b_hybrid_rerank,mrr@10,0.861479,3605,0,500.983
per-variant,tok512,nemotron8b_hybrid_rerank,category_hit/crosslingual,0.881119,3605,0,500.983
per-variant,tok512,nemotron8b_hybrid_rerank,category_hit/direct_long,0.983831,3605,0,500.983
per-variant,tok512,nemotron8b_hybrid_rerank,category_hit/direct_short,0.966460,3605,0,500.983
per-variant,tok512,nemotron8b_hybrid_rerank,category_hit/vague_long,0.951823,3605,0,500.983
per-variant,tok512,nemotron8b_hybrid_rerank,category_hit/vague_short,0.934919,3605,0,500.983
per-variant,tok512ov,nemotron8b,hit@1,0.821475,3865,0,7.164
per-variant,tok512ov,nemotron8b,hit@5,0.960155,3865,0,7.164
per-variant,tok512ov,nemotron8b,hit@10,0.976973,3865,0,7.164
per-variant,tok512ov,nemotron8b,recall@10,0.976973,3865,0,7.164
per-variant,tok512ov,nemotron8b,mrr@10,0.883158,3865,0,7.164
per-variant,tok512ov,nemotron8b,category_hit/crosslingual,0.930736,3865,0,7.164
per-variant,tok512ov,nemotron8b,category_hit/direct_long,0.994172,3865,0,7.164
per-variant,tok512ov,nemotron8b,category_hit/direct_short,0.973287,3865,0,7.164
per-variant,tok512ov,nemotron8b,category_hit/vague_long,0.965018,3865,0,7.164
per-variant,tok512ov,nemotron8b,category_hit/vague_short,0.923977,3865,0,7.164
per-variant,tok512ov,nemotron8b_hybrid_rerank,hit@1,0.765330,3865,0,503.217
per-variant,tok512ov,nemotron8b_hybrid_rerank,hit@5,0.938939,3865,0,503.217
per-variant,tok512ov,nemotron8b_hybrid_rerank,hit@10,0.969211,3865,0,503.217
per-variant,tok512ov,nemotron8b_hybrid_rerank,recall@10,0.969211,3865,0,503.217
per-variant,tok512ov,nemotron8b_hybrid_rerank,mrr@10,0.843548,3865,0,503.217
per-variant,tok512ov,nemotron8b_hybrid_rerank,category_hit/crosslingual,0.846320,3865,0,503.217
per-variant,tok512ov,nemotron8b_hybrid_rerank,category_hit/direct_long,0.988345,3865,0,503.217
per-variant,tok512ov,nemotron8b_hybrid_rerank,category_hit/direct_short,0.968641,3865,0,503.217
per-variant,tok512ov,nemotron8b_hybrid_rerank,category_hit/vague_long,0.936068,3865,0,503.217
per-variant,tok512ov,nemotron8b_hybrid_rerank,category_hit/vague_short,0.912281,3865,0,503.217
per-variant,tok1024,nemotron8b,hit@1,0.829083,1451,0,7.086
per-variant,tok1024,nemotron8b,hit@5,0.969676,1451,0,7.086
per-variant,tok1024,nemotron8b,hit@10,0.988973,1451,0,7.086
per-variant,tok1024,nemotron8b,recall@10,0.988973,1451,0,7.086
per-variant,tok1024,nemotron8b,mrr@10,0.890219,1451,0,7.086
per-variant,tok1024,nemotron8b,category_hit/crosslingual,0.971193,1451,0,7.086
per-variant,tok1024,nemotron8b,category_hit/direct_long,0.996700,1451,0,7.086
per-variant,tok1024,nemotron8b,category_hit/direct_short,0.973510,1451,0,7.086
per-variant,tok1024,nemotron8b,category_hit/vague_long,0.973244,1451,0,7.086
per-variant,tok1024,nemotron8b,category_hit/vague_short,0.934211,1451,0,7.086
per-variant,tok1024,nemotron8b_hybrid_rerank,hit@1,0.836664,1451,0,917.435
per-variant,tok1024,nemotron8b_hybrid_rerank,hit@5,0.967609,1451,0,917.435
per-variant,tok1024,nemotron8b_hybrid_rerank,hit@10,0.988973,1451,0,917.435
per-variant,tok1024,nemotron8b_hybrid_rerank,recall@10,0.988973,1451,0,917.435
per-variant,tok1024,nemotron8b_hybrid_rerank,mrr@10,0.893371,1451,0,917.435
per-variant,tok1024,nemotron8b_hybrid_rerank,category_hit/crosslingual,0.930041,1451,0,917.435
per-variant,tok1024,nemotron8b_hybrid_rerank,category_hit/direct_long,0.990099,1451,0,917.435
per-variant,tok1024,nemotron8b_hybrid_rerank,category_hit/direct_short,0.986755,1451,0,917.435
per-variant,tok1024,nemotron8b_hybrid_rerank,category_hit/vague_long,0.969900,1451,0,917.435
per-variant,tok1024,nemotron8b_hybrid_rerank,category_hit/vague_short,0.953947,1451,0,917.435
