design,variant,method,metric,value,questions,span_questions,ms_per_query
per-variant,tok256,qwen8b_hybrid_rerank,mrr@10,0.817851,7801,0,463.236
per-variant,tok256,qwen8b_hybrid_rerank,category_hit/crosslingual,0.823392,7801,0,463.236
per-variant,tok256,qwen8b_hybrid_rerank,category_hit/direct_long,0.971330,7801,0,463.236
per-variant,tok256,qwen8b_hybrid_rerank,category_hit/direct_short,0.936927,7801,0,463.236
per-variant,tok256,qwen8b_hybrid_rerank,category_hit/vague_long,0.895288,7801,0,463.236
per-variant,tok256,qwen8b_hybrid_rerank,category_hit/vague_short,0.861415,7801,0,463.236
per-variant,tok512,qwen8b,hit@1,0.731207,3605,0,15.330
per-variant,tok512,qwen8b,hit@5,0.930652,3605,0,15.330
per-variant,tok512,qwen8b,hit@10,0.961720,3605,0,15.330
per-variant,tok512,qwen8b,recall@10,0.961720,3605,0,15.330
per-variant,tok512,qwen8b,mrr@10,0.817003,3605,0,15.330
per-variant,tok512,qwen8b,category_hit/crosslingual,0.897436,3605,0,15.330
per-variant,tok512,qwen8b,category_hit/direct_long,0.980100,3605,0,15.330
per-variant,tok512,qwen8b,category_hit/direct_short,0.950311,3605,0,15.330
per-variant,tok512,qwen8b,category_hit/vague_long,0.920573,3605,0,15.330
per-variant,tok512,qwen8b,category_hit/vague_short,0.888611,3605,0,15.330
per-variant,tok512,qwen8b_hybrid_rerank,hit@1,0.789182,3605,0,929.921
per-variant,tok512,qwen8b_hybrid_rerank,hit@5,0.947850,3605,0,929.921
per-variant,tok512,qwen8b_hybrid_rerank,hit@10,0.974757,3605,0,929.921
per-variant,tok512,qwen8b_hybrid_rerank,recall@10,0.974757,3605,0,929.921
per-variant,tok512,qwen8b_hybrid_rerank,mrr@10,0.858692,3605,0,929.921
per-variant,tok512,qwen8b_hybrid_rerank,category_hit/crosslingual,0.874126,3605,0,929.921
per-variant,tok512,qwen8b_hybrid_rerank,category_hit/direct_long,0.983831,3605,0,929.921
per-variant,tok512,qwen8b_hybrid_rerank,category_hit/direct_short,0.967702,3605,0,929.921
per-variant,tok512,qwen8b_hybrid_rerank,category_hit/vague_long,0.951823,3605,0,929.921
per-variant,tok512,qwen8b_hybrid_rerank,category_hit/vague_short,0.927409,3605,0,929.921
per-variant,tok512ov,qwen8b,hit@1,0.718499,3865,0,20.071
per-variant,tok512ov,qwen8b,hit@5,0.916429,3865,0,20.071
per-variant,tok512ov,qwen8b,hit@10,0.949288,3865,0,20.071
per-variant,tok512ov,qwen8b,recall@10,0.949288,3865,0,20.071
per-variant,tok512ov,qwen8b,mrr@10,0.805095,3865,0,20.071
per-variant,tok512ov,qwen8b,category_hit/crosslingual,0.885281,3865,0,20.071
per-variant,tok512ov,qwen8b,category_hit/direct_long,0.979021,3865,0,20.071
per-variant,tok512ov,qwen8b,category_hit/direct_short,0.939605,3865,0,20.071
per-variant,tok512ov,qwen8b,category_hit/vague_long,0.910736,3865,0,20.071
per-variant,tok512ov,qwen8b,category_hit/vague_short,0.852632,3865,0,20.071
per-variant,tok512ov,qwen8b_hybrid_rerank,hit@1,0.766365,3865,0,676.242
per-variant,tok512ov,qwen8b_hybrid_rerank,hit@5,0.933247,3865,0,676.242
per-variant,tok512ov,qwen8b_hybrid_rerank,hit@10,0.964812,3865,0,676.242
per-variant,tok512ov,qwen8b_hybrid_rerank,recall@10,0.964812,3865,0,676.242
per-variant,tok512ov,qwen8b_hybrid_rerank,mrr@10,0.841462,3865,0,676.242
per-variant,tok512ov,qwen8b_hybrid_rerank,category_hit/crosslingual,0.844156,3865,0,676.242
per-variant,tok512ov,qwen8b_hybrid_rerank,category_hit/direct_long,0.987179,3865,0,676.242
per-variant,tok512ov,qwen8b_hybrid_rerank,category_hit/direct_short,0.968641,3865,0,676.242
per-variant,tok512ov,qwen8b_hybrid_rerank,category_hit/vague_long,0.936068,3865,0,676.242
per-variant,tok512ov,qwen8b_hybrid_rerank,category_hit/vague_short,0.888889,3865,0,676.242
per-variant,tok1024,qwen8b,hit@1,0.751895,1451,0,10.926
per-variant,tok1024,qwen8b,hit@5,0.944866,1451,0,10.926
per-variant,tok1024,qwen8b,hit@10,0.971744,1451,0,10.926
per-variant,tok1024,qwen8b,recall@10,0.971744,1451,0,10.926
per-variant,tok1024,qwen8b,mrr@10,0.832987,1451,0,10.926
per-variant,tok1024,qwen8b,category_hit/crosslingual,0.950617,1451,0,10.926
per-variant,tok1024,qwen8b,category_hit/direct_long,0.990099,1451,0,10.926
per-variant,tok1024,qwen8b,category_hit/direct_short,0.970199,1451,0,10.926
per-variant,tok1024,qwen8b,category_hit/vague_long,0.939799,1451,0,10.926
per-variant,tok1024,qwen8b,category_hit/vague_short,0.875000,1451,0,10.926
per-variant,tok1024,qwen8b_hybrid_rerank,hit@1,0.836664,1451,0,903.845
per-variant,tok1024,qwen8b_hybrid_rerank,hit@5,0.970365,1451,0,903.845
per-variant,tok1024,qwen8b_hybrid_rerank,hit@10,0.987595,1451,0,903.845
per-variant,tok1024,qwen8b_hybrid_rerank,recall@10,0.987595,1451,0,903.845
per-variant,tok1024,qwen8b_hybrid_rerank,mrr@10,0.893451,1451,0,903.845
per-variant,tok1024,qwen8b_hybrid_rerank,category_hit/crosslingual,0.938272,1451,0,903.845
per-variant,tok1024,qwen8b_hybrid_rerank,category_hit/direct_long,0.986799,1451,0,903.845
per-variant,tok1024,qwen8b_hybrid_rerank,category_hit/direct_short,0.993377,1451,0,903.845
per-variant,tok1024,qwen8b_hybrid_rerank,category_hit/vague_long,0.969900,1451,0,903.845
per-variant,tok1024,qwen8b_hybrid_rerank,category_hit/vague_short,0.957237,1451,0,903.845
